,Clone Group ID,Source Folder,Package,Class,Method,Method Signature,Start Line,End Line,Start Offset,End Offset,#PDG Nodes,#Statements,Line Coverage (%),Clone Group Size,Clone Group Info,Connected,Clone Pair Location,#Refactorable Pairs,Details
3628,8064,tests,org.jfree.data.category.junit,SlidingCategoryDatasetTests,testGetRowCount,()V,199,206,6546,6853,,,,,,,,,
3679,8097,tests,org.jfree.chart.renderer.xy.junit,RendererXYPackageTests,createTestXYSeriesCollection,()QXYSeriesCollection;,118,129,4686,5136,,,,2.0,,,Clones are within the same file,,
3680,8097,tests,org.jfree.chart.renderer.xy.junit,RendererXYPackageTests,createTestTableXYDataset,()QTableXYDataset;,136,147,5299,5751,,,,,,,,,
3683,8125,tests,org.jfree.chart.plot.dial.junit,DialCapTests,testCloning,()V,155,162,4666,4990,,,,2.0,,,Clones are within the same file,,
3684,8125,tests,org.jfree.chart.plot.dial.junit,DialCapTests,testSerialization,()V,205,213,6291,6616,,,,,,,,,
3701,8161,tests,org.jfree.data.xy.junit,VectorSeriesTests,testIndexOf,()V,185,189,5575,5794,,,,2.0,,,Clones are within the same file,,
3702,8161,tests,org.jfree.data.xy.junit,VectorSeriesTests,testIndexOf2,()V,196,200,5928,6147,,,,,,,,,
3703,8176,tests,org.jfree.data.time.ohlc.junit,OHLCSeriesTests,testSerialization,()V,148,165,4479,5067,,,,2.0,,,Clones are in different files,,
3704,8176,tests,org.jfree.data.time.ohlc.junit,OHLCItemTests,testSerialization,()V,155,171,5107,5697,,,,,,,,,
3705,8178,tests,org.jfree.data.time.junit,TimeSeriesTests,testSetMaximumItemCount,()V,563,570,18982,19214,,,,2.0,,,Clones are within the same file,,
3706,8178,tests,org.jfree.data.time.junit,TimeSeriesTests,testSerialization,()V,307,313,9539,9774,,,,,,,,,
3773,8407,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,90,99,2814,3123,,,,2.0,Subclone,8409.0,Clones are within the same method,,
3774,8407,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,108,117,3542,3835,,,,,,,,,
3775,8408,tests,org.jfree.chart.plot.dial.junit,StandardDialScaleTests,testEquals,()V,102,117,3298,3835,,,,2.0,,,Clones are within the same method,,
